Unnamed: 0,Issuer.Ticker,Issuer.Name,Sales...1.Yr.Growth,Profit.Margin,Return.on.Assets,Offer.Size..M.,Shares.Outstanding..M.,Offer.Price,Offer.To.1st.Close,Market.Cap.at.Offer..M.,Trade.Date..US.,cusip,Cash.Flow.per.Share,Instit.Owner....Shares.Out.,Instit.Owner..Shares.Held.,Month.Date,Month.of.Quarter,Real.GDP.Per.Capita,OECD.Leading.Indicator,Interest.Rate,Seasonally.Adjusted.Unemployment.Rate,CPI.Growth.Rate,Filing.Term.Price.Range,Priced.Range,Industry.Sector,Industry.Group,Industry.Subgroup,Underpriced,price_1yr,X1_year_return,X1_year_up,actual_date_1yr,days_from_ipo,status,1_Year_excess_return,1_day_excess_return
178,CNC,Centene Corp,13.3,1.0,2.5,56.35,0.0,14.0,22.8571434,0.0,12/13/01,15135B101,7.2,102.177,578585000.0,12/1/01,10/1/01,46400,98.68610603,1.33,5.760192645,-0.394588501,13 - 15,Priced Within Range,0,0,142,1,2.71,-80.63,0,2002-12-13,365,success,-61.4747549498617,24.4128912290786
179,CNK,Cinemark Holdings Inc,120.0,-27.9,-3.3,537.075,106.45,19.0,-0.473684222,2022.55,4/24/07,17243V102,1.4,109.342,131822000.0,4/1/07,4/1/07,51705,101.8191092,6.25,4.572674984,0.649616269,17 - 19,Priced Within Range,5,16,27,0,8.54,-55.07,0,2008-04-23,365,success,-48.839294460213,-0.438569801937057
180,CNS,Cohen & Steers Inc,36.1,36.0,41.6,112.125,34.2,13.0,0.0,444.6,8/13/04,19247A100,5.0,50.2045,24452800.0,8/1/04,7/1/04,49243,100.6961111,2.5,5.45422641,0.05279831,13 - 15,Priced Within Range,3,26,39,0,7.79,-40.06,0,2005-08-15,367,success,-55.4929403115946,-0.147669744978396
181,CODI,Compass Diversified Holdings,35.4,6.2,5.4,202.5,20.0,15.0,0.200000003,300.0,5/11/06,20451Q104,2.0,65.5107,47300500.0,5/1/06,4/1/06,51210,101.1215791,6.0,4.71660949,0.496277916,14 - 16,Priced Within Range,3,24,37,1,3.73,-75.13,0,2007-05-11,365,success,-89.3383681043493,1.47980741178814
182,COLD,Americold Realty Trust Inc,36.5,-1.1,-0.3,833.52,142.388,16.0,11.0625,2208.61,1/19/18,03064D108,1.0,113.612,306071000.0,1/1/18,1/1/18,56195,100.4818485,2.0,4.134060502,0.544774545,14 - 16,Priced Within Range,3,3,13,1,22.88,42.99,1,2019-01-22,368,success,49.1936111788859,10.6239764719167
183,COMM,CommScope Holding Co Inc,1.7,-5.3,-2.0,625.248,185.654,15.0,-0.06666667,2784.81,10/25/13,20337X109,0.6,101.838,212179000.0,10/1/13,10/1/13,52544,100.65078,0.75,7.416395048,-0.257528326,18 - 21,Priced Below Range,4,23,34,0,22.4,49.33,1,2014-10-27,367,success,38.4734719407255,-0.506151064876999
184,COR,CoreSite Realty Corp,5.9,13.0,4.0,310.96,19.644,16.0,0.0625,314.3,9/23/10,21870Q105,6.7,30.8188,13620500.0,9/1/10,7/1/10,50706,99.64484999,0.75,9.69169447,0.058173623,15 - 17,Priced Within Range,3,3,50,1,26.45,65.3,1,2011-09-23,365,success,58.4314053659503,0.895634037309224
185,CORI,Corium Inc/DE,-3.5,-149.9,-54.5,52.0,17.6174,8.0,0.0,140.94,4/3/14,21887L107,-1.2,0.248128,90611.0,4/1/14,4/1/14,52840,100.7244786,0.75,6.336592395,0.329675445,12-Oct,Priced Below Range,0,13,15,0,7.13,-10.87,0,2015-04-06,368,success,-19.9192711759582,0.112644982440391
186,CORT,Corcept Therapeutics Inc,3.4,30.7,21.1,54.0,22.6421,12.0,1.916666627,271.71,4/14/04,218352102,1.4,85.9784,92555600.0,4/1/04,4/1/04,48905,101.0072146,2.0,5.662633096,0.320170758,12-Dec,Priced Within Range,0,13,15,1,3.56,-70.33,0,2005-04-14,365,success,-75.6120021517962,2.02910261884882
187,COTV,Cotiviti Holdings Inc,8.5,20.3,7.6,245.78,90.167,19.0,-9.947368622,1704.89,5/26/16,22164K101,1.9,0.262074,246449.0,5/1/16,4/1/16,54334,99.17131936,1.0,4.882282302,0.4045791,17 - 19,Priced Within Range,1,5,22,0,38.43,102.26,1,2017-05-26,365,success,87.2229309476258,-9.92632425108182
188,COTY,Coty Inc,14.5,4.8,1.2,1140.0,72.219,17.5,-0.800000012,1263.83,6/13/13,222070203,0.8,39.0718,332155000.0,6/1/13,4/1/13,51982,100.5692261,0.75,7.657716977,0.239970809,16.50 - 18.50,Priced Within Range,0,53,145,0,14.57,-16.76,0,2014-06-13,365,success,-35.5535437690381,-2.27842909841842
189,CPIX,Cumberland Pharmaceuticals Inc,-3.8,-9.7,-7.8,85.0,18.1289,17.0,-1.0,308.19,8/11/09,230770109,0.4,18.1017,2618260.0,8/1/09,7/1/09,49473,97.28828582,0.5,9.719974615,0.224285004,19 - 21,Priced Below Range,0,13,15,0,6.2,-63.53,0,2010-08-11,365,success,-76.9498286995966,0.266011389518684
190,CPLA,Capella Education Co,2.5,5.3,9.4,92.0,15.3658,20.0,25.54999924,307.32,11/9/06,139594105,5.4,0.480837,56402.4,11/1/06,10/1/06,51455,101.2916395,6.25,4.568466443,-0.148662042,17.50 - 19.50,Priced Above Range,0,7,79,1,64.32,221.62,1,2007-11-09,365,success,214.623122105836,26.0832971035407
